Entity,Code,Day,Training dataset size,Domain
LLaVA-OV-72B,,2024-08-06,38314782000,Multiple domains
LMICA,,2004-12-01,100000,Vision
LMS,,1960-06-30,6,Multiple domains
LMSI-Palm,,2022-10-20,,Language
LRCN,,2014-11-07,40000,Other
LRSO-GAN,,2017-10-22,,Vision
LSTM,,1997-11-15,1273000,Language
LSTM (2018),,2018-03-04,,Language
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,175181505,Language
LSTM + dynamic eval,,2017-09-21,,Language
LSTM LM,,2012-09-09,27000000,Language
LSTM with forget gates,,1999-01-02,30000,Language
LSTM+NeuralCache,,2018-09-24,2000000,Language
LSTM-300units,,2012-09-01,,Language
LSTM-Char-Large,,2015-08-26,929000,Language
LTE speaker verification system,,1966-11-01,417,Speech
LTM-1,,2023-06-06,,Language
LUKE,,2020-10-02,3500000000,Language
LaMDA,,2022-02-10,1560000000000,Language
LaNet-L (CIFAR-10),,2019-06-17,60000,Vision
Large regularized LSTM,,2014-09-08,929000,Language
LeNet-5,,1998-11-01,60000,Vision
Learnability theory of language development,,1984-07-01,,Language
Libratus,,2017-08-19,,Games
Linear Decision Functions,,1962-06-01,500,Other
"Listen, Attend and Spell",,2015-08-20,,Speech
Llama 2-70B,,2023-07-18,1500000000000,Language
Llama 2-7B,,2023-07-18,1500000000000,Language
Llama 3-70B,,2024-04-18,15000000000000,Language
Llama 3.1-405B,,2024-07-23,15600000000000,Language
Llama 3.2 11B,,2024-09-24,6000000000,Multiple domains
Llama 3.3 70B,,2024-12-06,15000000000000,Language
Llama 4 Behemoth (preview),,2025-04-05,30000000000000,Multiple domains
Llama Guard,,2023-12-07,4096000,Language
Local Binary Patterns for facial recognition,,2006-12-01,,Vision
LongT5,,2021-12-15,200000000000,Language
M4-50B,,2019-10-11,,Language
M6-T,,2021-03-05,1900000000000,Multiple domains
MADALINE I,,1962-07-01,,Other
MCDNN (MNIST),,2012-02-13,60000,Vision
MEB,,2021-09-04,,Multiple domains
MEGNet (crystal band gap model),,2019-04-10,45901,Other
MEGNet (crystal elasticity model),,2019-04-10,,Other
MEGNet (crystal formation energy model),,2019-04-10,69239,Other
MEGNet (molecule model),,2019-04-10,130462,Other
MLN-ASR,,1988-08-01,1400,Speech
MLP baggage detector,,1989-01-01,40000,Vision
MM1-30B,,2024-03-14,1500000000000,Multiple domains
MMLSTM,,2019-12-05,103000000,Language
MS-CNN,,2016-09-17,,Vision
MSA Transformer,,2021-02-13,9297600000000,Biology
"MSRA (C, PReLU)",,2015-02-06,1280000,Vision
MT-DNN,,2019-01-31,,Language
MUSIC perceptron,,1996-06-03,27000,Vision
MV-RNN,,2012-07-12,,Language
Make-A-Video,,2022-09-29,,Other
Mamba-24M (SC09),,2023-12-01,305280000,Speech
ManiGaussian,,2024-03-13,,Multiple domains
Mask R-CNN,,2017-03-30,,Vision
Masked Autoencoders ViT-H,,2021-11-11,1281167,Vision
Mathstral,,2024-07-16,,Multiple domains
MatrixFac for Recommenders,,2009-08-07,100480507,Other
Max-Margin Markov Networks,,2004-03-01,600,Multiple domains
Maximum Entropy Models for machine translation,,2002-07-06,519523,Language
Maximum compute,,1950-07-02,40,Robotics
Maximum compute,,1957-01-01,6,Other
Maximum compute,,1960-03-30,5000,Vision
Maximum compute,,1987-06-06,1024,Speech
Maximum compute,,1989-11-27,9840,Vision
Maximum compute,,1992-05-01,6300000,Games
Maximum compute,,1994-12-02,600000,Language
Maximum compute,,1997-11-15,1273000,Language
Maximum compute,,2000-11-28,33100000,Language
Maximum compute,,2007-06-22,1800000000000,Language
Maximum compute,,2013-01-16,6000000000,Language
Maximum compute,,2014-12-03,1000000000,Language
Maximum compute,,2016-09-26,388960152200,Language
Maximum compute,,2017-10-18,5800000000,Games
Maximum compute,,2021-09-03,2490000000000,Language
Maximum compute,,2022-06-29,26000000000,Language
Maximum compute,,1959-02-01,,Language
Maximum compute,,2015-10-01,,Games
Maximum compute,,2023-12-06,,Multiple domains
Maximum compute,,2025-02-17,,Multiple domains
Maximum data,,1950-07-02,40,Robotics
Maximum data,,1955-03-01,256,Other
Maximum data,,1959-07-01,53000,Games
Maximum data,,1983-09-01,500000,Robotics
Maximum data,,1992-05-01,6300000,Games
Maximum data,,1993-06-15,53358600,Language
Maximum data,,1994-10-22,100000000,Other
Maximum data,,1995-06-26,460000000,Language
Maximum data,,2007-06-22,1800000000000,Language
Maximum data,,2021-02-13,9297600000000,Biology
Maximum data,,2024-09-19,18000000000000,Language
Maximum data,,2025-04-05,30000000000000,Multiple domains
Maximum parameters,,1950-07-02,40,Robotics
Maximum parameters,,1955-03-01,256,Other
Maximum parameters,,1957-01-01,6,Other
Maximum parameters,,1975-09-01,5,Other
Maximum parameters,,1980-04-01,5,Vision
Maximum parameters,,1993-06-15,53358600,Language
Maximum parameters,,1995-09-01,60000,Vision
Maximum parameters,,2001-12-08,14460,Vision
Maximum parameters,,2007-06-22,1800000000000,Language
Maximum parameters,,2021-01-11,576000000000,Language
Maximum parameters,,2025-04-05,30000000000000,Multiple domains
Maximum parameters,,1959-12-01,,Vision
Maxout Networks,,2013-02-18,,Vision
Med-PaLM 2,,2023-05-16,,Multiple domains
MedBERT,,2021-05-20,,Other
Meena,,2020-01-28,40000000000,Language
MegaScale (Production),,2024-02-23,,Language
MegaSyn,,2022-03-07,,Other
Megatron-BERT,,2019-09-17,46400000000,Language
Megatron-LM (8.3B),,2019-09-17,34800000000,Language
